'http://dos.heuristscholar.org/heurist/php/fetch_file.php/cosLib_JSmall_007_007664.jpg?file_id=d4e3db0da3f5f21b01686b49e3ddce92696592fc','Glebe School of Arts hall','Community hall and library built for the Glebe School of Arts, transferred to Sydney City Council in 1955 and used as the Glebe library for some years.',1900,151.18418097496,-33.881135841396
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/Liverpool_Arts_H17880.1.jpg?file_id=3ee21ee7de7a98729f56f33ba651a5d6f1b4b8a5','Liverpool Memorial School of Arts hall','Community hall used by the School of Arts but given to Liverpool Council. A painting from the school''s collection was given to the National Gallery in 1963.',1924,150.92292782663,-33.92529884627
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/a140006h.jpg?file_id=285bae387a47c60e0f3682b3428e2cb13448b63a','Rosebank','Darlinghurst villa built for James Laidley.',1831,151.22040027378,-33.876365990618
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/9.Cell+Block+Theatre+1960s.jpg?file_id=7df14651352ce9cabb409b75df592c01727d724a','Cell Block Theatre','Theatre established in 1958 within the National Art School.',1900,151.21853658518,-33.879789791977
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/Flickr_852258352_5cbad8368e_o.jpg?file_id=8794d96328255eee140c710eb89f20041b1d6b07','Galeries Victoria','Shopping complex on George Street below the Citigroup office block.',1900,151.20717707568,-33.872416922659
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/SLNSW_a089314u+copy.jpg?file_id=6c7c253d3eccd892612dcfa8d9bc39df97c0a9db','Supreme Court building Elizabeth Street','Colonial office building in Victorian Tudor style.',1862,151.21054744712,-33.86984542716
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/SLNSW_a140012h.jpg?file_id=212ce007b4a8c030b671a5af6ec6bb0292971896','Springfield Lodge','Home built on land granted to Alexander Baxter on Woolloomooloo Hill. It was demolished for the construction of a shopping centre.',1934,151.22369402645,-33.872945429283
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/SLNSW_hall_34761h.jpg?file_id=6f65bacdd146e26c4b07bc3e7d9e303d226c41b0','Culwulla Chambers','Sydney''s first skyscraper which caused such an outcry that a height limit for buildings of 150 feet was imposed which was not repealed until 1957.',1912,151.20945511758,-33.869308705589
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/11961845.jpg?file_id=ce06d2570345133c2a039e64746675ccd2530d43','Pymble railway station','North shore line station.',1900,151.14208674422,-33.744968012983
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/17056802_7af91e54a7_b.jpg?file_id=c8c594480b129b040d22e698d16327af43a0b390','Al-Zahra mosque','Arncliffe''s Shi''ite mosque, established in 1983.',1983,151.14863881828,-33.932539255504
'http://dos.heuristscholar.org/heurist/php/fetch_file.php/cosLib_JSmall_028_028850.jpg?file_id=6a154458e07e49f0531e1053a5b6b856705925ea','AMP Building','One of Sydney''s early high-rise office blocks.',1962,151.21157967714,-33.861973449689
